user_id,avg_engagement_rate
43,1.78
83,1.76
81,1.25
25,0.86
57,0.85
92,0.61
29,0.61
21,0.35
80,0.34
48,0.28
1,0.27
2,0.27
24,0.23
89,0.20
53,0.20
19,0.20
11,0.18
73,0.17
54,0.17
49,0.16
5,0.16
51,0.16
96,0.15
72,0.14
71,0.14
28,0.14
37,0.13
44,0.13
76,0.13
99,0.13
84,0.12
82,0.12
22,0.11
77,0.11
62,0.10
3,0.10
7,0.10
10,0.10
69,0.09
66,0.09
4,0.09
8,0.09
15,0.09
32,0.09
50,0.09
64,0.08
60,0.08
47,0.08
65,0.08
94,0.08
30,0.08
74,0.08
75,0.07
23,0.07
35,0.07
36,0.07
45,0.07
59,0.07
27,0.07
39,0.07
17,0.07
12,0.07
85,0.07
90,0.07
86,0.07
67,0.06
87,0.06
63,0.06
31,0.06
98,0.06
78,0.06
9,0.06
26,0.06
58,0.06
70,0.06
13,0.06
52,0.05
93,0.05
100,0.05
6,0.05
14,0.05
97,0.05
68,0.05
20,0.05
79,0.04
33,0.04
46,0.04
41,0.04
34,0.04
61,0.04
88,0.04
55,0.03
